sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
201542	KL-CP-87	KL-CP-87_S178_L001_R1_001.fastq.gz	81a8ac7901fe1c840edbd5f81801adfdf83e2156351270926d5179d6e6ebe417	KL-CP-87_S178_L001_R2_001.fastq.gz	34d8257a52c2de283c939f729d0ff448aa273740cf8f68fcfd2a021829b185a6	1016	20240723T194127_rcunning	27156	23670	328	23665	327	0	0	5	1	23244	20	0	1778	0	6	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Faviidae	Diploria	labyrinthiformis	24.90399933	-80.61685944	20201012	13
201538	KL-CP-80	KL-CP-80_S174_L001_R1_001.fastq.gz	3cc30d0cfdc313c64f50b3b99f79f9da31702b5c7c6717a4fe515c15fd20daad	KL-CP-80_S174_L001_R2_001.fastq.gz	224f8be5c112326fc745c0fdcc3deb9452f9e4cd403a974bd1a270d1b6bc75ae	1016	20240723T194127_rcunning	24169	20277	212	20274	211	0	0	3	1	19995	16	0	1804	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Faviidae	Diploria	labyrinthiformis	24.90399933	-80.61685944	20201012	10
201464	KL-CP-4	KL-CP-4_S100_L001_R1_001.fastq.gz	18f7b99264935f41a6738b1bcd9700690bdc55491f7a4f1b9c0d85427d1a632d	KL-CP-4_S100_L001_R2_001.fastq.gz	ac131d43a1882a66355471beeba2d3972f339ab408b5e82188a0b647b8743d6f	1016	20240723T194127_rcunning	33866	29872	294	28255	289	0	0	1617	5	27773	22	0	2541	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Faviidae	Diploria	labyrinthiformis	24.90399933	-80.61685944	20201012	9
201494	KL-CP-38	KL-CP-38_S130_L001_R1_001.fastq.gz	54150f99d6540666f3537ea966fc720ebc041f21242325e35674e89b68b0c80f	KL-CP-38_S130_L001_R2_001.fastq.gz	07f8db89ac1e4d13faeb7556e0026aaf78a7a0829a5fda9572f14fcf8a17ec1b	1016	20240723T194127_rcunning	26047	22565	289	22565	289	0	0	0	0	22361	16	0	2225	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Faviidae	Diploria	labyrinthiformis	24.90399933	-80.61685944	20201012	14
201492	KL-CP-33	KL-CP-33_S128_L001_R1_001.fastq.gz	3970df520128dcb1c0eaef40d6f15fa25353222b4f29c782734a3aae4ff91d26	KL-CP-33_S128_L001_R2_001.fastq.gz	0c70b4b939e2a1fe7b1e0ce3823d692bf19f8a9d2f461d67ccfbd336c49e231c	1016	20240723T194127_rcunning	35754	30885	394	30874	391	0	0	11	3	30676	18	0	3041	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Faviidae	Diploria	labyrinthiformis	24.90399933	-80.61685944	20201012	13
201703	KL-376	KL-376_S249_L001_R1_001.fastq.gz	0db2cd50aa7bf544b2a882f79eb743f67781ea99069fce6f8e2935b50ea90711	KL-376_S249_L001_R2_001.fastq.gz	29f73999a4904b5de94554ce501748685473fbc280db88059e26c52f6c433a1d	1016	20240723T194127_rcunning	10984	8756	144	8733	139	0	0	23	5	8574	23	17	619	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Faviidae	Diploria	labyrinthiformis	24.90399933	-80.61685944	20020926	11
201708	KL-377	KL-377_S261_L001_R1_001.fastq.gz	7eb0d9bf4493376e9390955fc88ce9687db3d696970176536b009678df6a78ea	KL-377_S261_L001_R2_001.fastq.gz	804eb28ca70309099890b1ff69615b351049791d4d8937ac0d9cd6d43b36f61a	1016	20240723T194127_rcunning	9304	7037	127	7028	124	0	0	9	3	6929	19	0	548	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Faviidae	Diploria	labyrinthiformis	24.90399933	-80.61685944	20020926	11
201526	KL-CP-68	KL-CP-68_S162_L001_R1_001.fastq.gz	e015e331a52917f9a1735ddca73253b009b4e1589b38f1bd070e7935d6fd6547	KL-CP-68_S162_L001_R2_001.fastq.gz	984314a03b59a41293645c07abe544dc90d69ea54065b8ef6763b4180845af72	1016	20240723T194127_rcunning	26731	23046	263	23039	261	0	0	7	2	22727	26	0	776	0	122	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Faviidae	Diploria	labyrinthiformis	24.90399933	-80.61685944	20201012	9
201461	KL-CP-12	KL-CP-12_S97_L001_R1_001.fastq.gz	b35b9abd26d1e4a190be54cdf0f475b23638a44185e94b8d2a44780247e00f6a	KL-CP-12_S97_L001_R2_001.fastq.gz	276e5cb16f820ac2e3acc4ba7a83356beace13556769f0655f563f8dd930e98f	1016	20240723T194127_rcunning	32630	26134	315	26089	308	0	0	45	7	25413	24	0	975	0	112	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Faviidae	Diploria	labyrinthiformis	24.90399933	-80.61685944	20201012	13
201555	KL-PR-9	KL-PR-9_S378_L001_R1_001.fastq.gz	66e44cf7ccd0b9546c3dce39cc7448e5a6f3e82cb874f9b59b8d5692e59c58df	KL-PR-9_S378_L001_R2_001.fastq.gz	493cc8c6053e8b7090dac3c1fbc5f708d740bbd3a33a1b11d4f07bda5492bbf0	1016	20240723T194127_rcunning	43638	30374	328	29874	303	0	0	500	25	29332	15	0	6340	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Meandrinidae	Dichocoenia	stokesii	24.98698044	-80.41486359	20201012	22
