pixel,slope,se
6056,6.796342009787418,0.428872145059569
6057,6.90186696738939,0.45290232986394263
6058,6.943423309698427,0.4875658979950232
6059,7.211730471623146,0.5466553244669794
6060,7.515596724121411,0.5423271886690505
6061,7.997685215367909,0.6324727871488272
6062,9.284591554137295,0.4569450991926521
6106,9.387694675738313,1.0839813229264648
6107,9.252827746448988,1.0235969231397468
6108,9.480429950554177,0.9794441007165868
6109,9.541027527235467,0.9395180234415113
6110,9.395689938324635,0.8577899035801559
6111,9.417741232520221,0.9082056444397427
6112,9.594607048286607,0.9078242398775455
6113,9.225975871984634,0.824022227757791
6114,9.447081960820855,0.8423279261327797
6141,7.208561542274666,0.47741413465665933
6142,7.1705663783327855,0.4849415158714182
6143,7.106904684359588,0.4646592815006319
6144,7.283019251355623,0.449004344244017
6145,7.140862266901622,0.4633583846282149
6146,7.160059173885357,0.49964886554133464
6147,7.02754876328835,0.5082464859600113
6148,7.586943472164335,0.5780622094988669
6149,7.757614344777865,0.5855760156050145
6150,8.125788201488483,0.6428572222446807
6151,8.91701309001023,0.5843028731736823
6197,9.291612246883512,1.0547492023774196
6198,9.300419591072963,0.9905377533272152
6199,9.32501801932726,0.9175237241439163
6200,9.431209409099127,0.8438074078775822
6201,9.510595195852346,0.8588866488159717
6202,9.478411509322324,0.8449855995076002
6203,9.661393589029878,0.945683393370575
6204,9.27842654020047,0.869202668498595
6205,9.395667886663388,0.8700899941311705
6206,9.318655252597413,0.9556749848591215
6207,9.180796820840913,0.876741699620596
6227,8.163414071789596,0.49138436535746016
6228,8.068437499641707,0.484645193858346
6229,8.047337636419096,0.4854101488789569
6230,7.9409546813784555,0.4952530713735597
6232,7.754986059728483,0.520493397025694
6233,7.715989753208105,0.5021152351358329
6234,7.517666383137619,0.5110595154605841
6235,7.4298211103357,0.564718207622636
6236,7.277303226447673,0.5529584836051413
6237,7.577001292609842,0.5638761947116585
6238,7.899225199753103,0.6041617729492933
6239,8.732446410024309,0.6489286685124142
6288,9.33837663818895,1.0336273861836138
6289,9.381549410453255,1.0118344245508921
6290,9.493321615531492,0.9574047949080983
6291,9.785067870948701,1.0607200344386025
6292,9.869193893370966,1.0428163271904838
6293,9.732640137662063,0.953860361276252
6294,9.233152394333354,0.8477718096721303
6295,9.366521911051786,0.9153701001157486
6296,9.07293914505589,0.8869357197972676
6297,9.14515706457255,0.9434665351572383
6298,9.047111812076942,0.9003038269950974
6299,8.43071825919226,0.8334119275040853
6300,8.368236193121728,0.8163950045768046
6307,8.894695167622404,0.6724791291483886
6312,8.689323017973601,0.5986350947874853
6313,8.523444649574746,0.6126631433014371
