sample_name,host_genus,host_species,date,era,subregion,site,latitude,longitude,depth,dominant_clade,A,B,C,D,Species_raw,Species
KL-431,Siderastrea,radians,20030523,2001-03,Upper Keys,Tavernier Rocks,24.93535233,-80.54960632,10,B,0.019932622122403137,0.972206625491297,0.007860752386299828,0,radians,SRAD
KL-45,Solenastrea,bournoni,20010621,2001-03,Upper Keys,Outer Reef,25.11186028,-80.28582764,17.388452,B,0.0032380151387720693,0.8441968040370058,0.1521867115222876,3.7846930193439853e-4,bournoni,SOLE
KL-49,Dichocoenia,stokesii,20010621,2001-03,Upper Keys,Outer Reef,25.11186028,-80.28582764,17.716536,B,0,0.9961559582646898,0.00384404173531026,0,stokesii,DSTO
KL-5-foamy,Colpophyllia,natans,20010621,2001-03,Upper Keys,Little Grecian,25.11901093,-80.30082703,28.543308,B,0,1,0,0,natans,CNAT
KL-53,Solenastrea,bournoni,20010621,2001-03,Upper Keys,Outer Reef,25.11186028,-80.28582764,17.388452,B,0.0049761146496815215,0.9918391719745223,0.0031847133757961707,0,bournoni,SOLE
KL-56,Solenastrea,bournoni,20010621,2001-03,Upper Keys,Outer Reef,25.11186028,-80.28582764,17.388452,B,0,0.9932614555256065,0.0067385444743935305,0,bournoni,SOLE
KL-589,Colpophyllia,natans,20030522,2001-03,Upper Keys,Pickles,24.98698044,-80.41486359,14,B,0.010635155096011812,0.985672082717873,0.003692762186115211,0,natans,CNAT
KL-59,Solenastrea,bournoni,20010621,2001-03,Upper Keys,Outer Reef,25.11186028,-80.28582764,18.04462,B,0.0023782300480219504,0.9826663617653785,0.014955408186599581,0,bournoni,SOLE
KL-590,Orbicella,faveolata,20030522,2001-03,Upper Keys,"Tavernier Creek, down from fuel docks on point, end of transect",25.00673294,-80.5297699,21,B,0.012802498048399684,0.9817330210772833,0.005464480874316937,0,faveolata,ORBI
KL-591,Siderastrea,radians,20030523,2001-03,Upper Keys,"Tavernier Creek, down from fuel docks on point, end of transect",25.00673294,-80.5297699,6.56168,B,0.00917537746806039,0.988966318234611,0.00185830429732868,0,radians,SRAD
